"job_work_from_home","job_posted_date","job_no_degree_mention","job_health_insurance","salary_year_avg","salary_hour_avg","search_location","salary_rate","job_title_short","job_title","job_location","job_via","job_schedule_type","job_country","company_id","count"
"","2023-10-13 07:33:33",1,"","","","Peru","","Data Engineer","Data Engineer","Lima, Peru","via BeBee","Full-time","Peru",572,"2"
"","2023-10-13 07:33:34","","","","","Peru","","Senior Data Engineer","Senior Data Engineer","Lima, Peru","via BeBee","Full-time","Peru",572,"2"
"","2023-10-15 07:46:34","","","","","Argentina","","Software Engineer","Application Engineer","Buenos Aires, Argentina","via BeBee","Full-time","Argentina",572,"2"
"","2023-10-15 08:11:19","","","","","Peru","","Data Analyst","Data Analyst","Lima, Peru","via BeBee","Full-time","Peru",572,"2"
"","2023-10-19 07:08:31","","","","","Argentina","","Data Scientist","Data Scientist","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-10-19 07:08:35",1,"","","","Argentina","","Data Analyst","Data Analyst","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-10-25 07:14:16","","","","","Peru","","Data Scientist","Data Scientist","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-10-28 06:10:07",1,"","","","Peru","","Data Analyst","Data Analyst","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-10-29 07:22:26","","","","","Argentina","","Data Scientist","Data Scientist","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-11-01 06:09:23","","","","","Peru","","Data Scientist","Data Scientist","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-11-02 06:33:41",1,"","","","Argentina","","Data Engineer","Data Engineer","Buenos Aires, Argentina","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Argentina",572,"2"
"","2023-11-07 06:34:44","","","","","Peru","","Data Scientist","Cientifico de Datos","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
"","2023-11-07 06:34:48",1,"","","","Peru","","Data Engineer","Data Engineer","Lima, Peru","via Trabajo.org - Vacantes De Empleo, Trabajo","Full-time","Peru",572,"2"
